       PADS LIBRARY (TOP_MCU PCB Decals) DIRECTORY LISTING
Item Name                                When Modified

24C02C-TSSOP                             10/16/24 21:38:26
2X5PINHEADER                             10/16/24 21:54:23
4PINHEADER                               10/16/24 17:48:00
5PINHEADER                               10/16/24 17:50:13
74HC154-TSSOP24                          10/16/24 21:38:55
ATMEGA128                                03/03/25 18:33:26
CAPAE1030X1050N                          07/01/25 17:18:32
CAPAE430X565N                            07/01/25 17:18:32
CAP_B43501A6476M000                      07/02/25 00:15:36
COM-11405                                10/16/24 17:39:57
DIOAD1036W78L470D235                     06/26/25 10:40:20
DIO_MMSZ4700T1G                          06/26/25 16:56:41
DIO_SZMMSZ4689T1G                        06/26/25 13:05:52
DIP762W50P254L458H480Q4                  06/26/25 09:11:56
DIP794W45P254L959H508Q8                  06/26/25 09:06:32
DO41-10                                  06/26/25 08:54:34
DRILLVIA                                 07/02/25 01:47:29
FT232R-SSOP28                            10/16/24 15:18:20
IND_SDE0604A_5P8X5P2X4P5_BRN             07/01/25 17:18:32
IND_SDE0604A_5P8X5P2X4P5_BRN_L           07/01/25 17:18:32
IND_SDE0604A_5P8X5P2X4P5_BRN_M           07/01/25 17:18:32
LED-0603                                 06/26/25 12:20:44
MAX232-D(R-PDSO-G16)                     10/16/24 15:39:03
PHOENIX_5430373                          06/26/25 09:00:00
RELAY_SRD-05VDC-SL-C                     06/26/25 10:58:06
RJ45-CONNECTOR                           10/16/24 21:25:40
RS232-CONNECTOR                          10/17/24 09:43:54
SOD3715X135N                             07/01/25 17:18:32
SOT229P700X180-4N                        07/01/25 17:18:32
SW_TS09-63-25-WT-260-SMT-TR              06/26/25 09:04:16
TERMINAL_BLOCK2                          10/16/24 21:02:04
TO225P1020X450X1935-3                    06/26/25 17:57:27
TO92127P520H534-3                        06/26/25 16:53:55
TRIM_3296W-1-252LF                       06/26/25 09:29:00
USB-ATYPE                                10/17/24 09:22:56
VREG_LM2596S-33NOPB                      07/01/25 17:18:32
W5500                                    10/16/24 13:05:22
XTAL_HC49P488W43L1085T450H368            06/26/25 09:13:36

