       PADS LIBRARY (STM_TOP PCB Decals) DIRECTORY LISTING
Item Name                                When Modified

DIOAD1898W129L762D1143                   06/20/25 18:05:08
QFP50P1200X1200X160-64N                  06/21/25 03:56:31
QFP50P1600X1600X160-100N                 06/21/25 03:55:10
QFP50P900X900X160-49N                    06/20/25 18:54:22
SOIC127P1420X360-20N                     06/20/25 18:22:30
SOIC127P599X175-8N                       06/20/25 18:10:40
SOIC127P600X175-16N                      06/20/25 18:24:50
SOIC127P600X175-8N                       06/20/25 18:09:14
SOP65P490X110-8N                         06/20/25 18:15:48
SOT229P700X180-4N                        06/20/25 18:01:52
SOT230P700X180-4N                        06/20/25 17:45:52
SOT96-1                                  06/20/25 18:19:52
TO254P1024X457X1883-3N                   06/21/25 03:25:25
VREG_LM2596S-33NOPB                      06/20/25 18:00:04
VREG_LM7805MPNOPB                        06/20/25 18:21:32

